"","title","description","contributor","author","publisher"
"2291","THE BRIDE COLLECTOR","An F.B.I. agent pursuing a killer who targets beautiful young women enlists the help of the residents of a home for the intellectually gifted mentally ill.","by Ted Dekker","Ted Dekker","Center Street"
"2292","SOLAR","A physicist cheats on his wives, sends an innocent man to jail and tries to cash in on another’s plans against global warming.","by Ian McEwan","Ian McEwan","Nan. A Talese/Doubleday"
"2293","THE SILENT SEA","Juan Cabrillo and the crew of the Oregon, chasing the remnants of a crashed satellite in the Argentine jungle, make discoveries that lead back to an ancient Chinese expedition.","by Clive Cussler and Jack Du Brul","Clive Cussler and Jack Du Brul","Putnam"
"2294","THE BLACK CAT","An unknown woman dressed to kill is found shot to death on the patio of a modest village pub; a Richard Jury mystery.","by Martha Grimes","Martha Grimes","Viking"
"2295","IMPERFECT BIRDS","A 17-year-old with a drug habit deceives her parents, with profound consequences.","by Anne Lamott","Anne Lamott","Riverhead"
"2296","THE ALOHA QUILT","With her divorce looming, Bonnie Markham visits a friend in Hawaii; an Elm Creek Quilts novel.","by Jennifer Chiaverini","Jennifer Chiaverini","Simon & Schuster"
"2297","CAT OF THE CENTURY","A killer is determined to turn a birthday party into a funeral; a Mrs. Murphy mystery.","by Rita Mae Brown","Rita Mae Brown","Bantam"
"2298","NOWHERE TO RUN","","by C. J. Box","C J Box","Putnam"
"2299","MISS JULIA RENEWS HER VOWS","","by Ann B. Ross","Ann B Ross","Viking"
"2300","BITE ME","Saving San Francisco from a vampyre cat.","by Christopher Moore","Christopher Moore","Morrow/HarperCollins"
"2301","THE LAST TIME I SAW YOU","","by Elizabeth Berg","Elizabeth Berg","Random House"
"2302","WITHOUT MERCY","Students are dying at an Oregon boarding school for wayward kids, and the concerned new teacher may be the next target.","by Lisa Jackson","Lisa Jackson","Kensington"
"2303","THINK TWICE","A woman takes over her twin sister’s life.","by Lisa Scottoline","Lisa Scottoline","St. Martin’s"
"2304","THE LOST SYMBOL","Robert Langdon among the Masons.","by Dan Brown","Dan Brown","Doubleday"
"2305","ANGELOLOGY","A nun is drawn into an ancient struggle against the Nephilim, hybrid offspring of humans and heavenly beings.","by Danielle Trussoni","Danielle Trussoni","Viking"
"2306","WORST CASE","Michael Bennett, a New York detective raising 10 children, investigates a string of kidnappings and killings by a villain with unusual motives.","by James Patterson and Michael Ledwidge","James Patterson and Michael Ledwidge","Little, Brown"
"2307","THE THREE WEISSMANNS OF WESTPORT","In this tribute to Austen’s “Sense and Sensibility,” two sisters — one logical, one emotional — move in with their mother when her ex-husband kicks her out of the family apartment.","by Cathleen Schine","Cathleen Schine","Sarah Crichton/Farrar, Straus & Giroux"
"2308","MAJOR PETTIGREW’S LAST STAND","In an English village, a retired major mourning the death of his brother is gradually drawn to a shopkeeper of Pakistani descent who shares his love of Kipling.","by Helen Simonson","Helen Simonson","Random House"
"2309","THE POSTMISTRESS","A tale of two worlds and two women delivering the news in 1940: Iris James, a spinster who runs the post office in a coastal Massachusetts town, and Frankie Bard, a reporter in London with Edward R. Murrow.","by Sarah Blake","Sarah Blake","Amy Einhorn/Putnam"
"2310","THE MAPPING OF LOVE AND DEATH","In 1932, the psychologist Maisie Dobbs searches for the nurse who wrote love letters to a young cartographer killed in World War I.","by Jacqueline Winspear","Jacqueline Winspear","Harper/HarperCollins"
"2311","SPLIT IMAGE","Jesse Stone, the police chief of Paradise, Mass., copes with divorce, the bottle and the murder of a mob soldier.","by Robert B. Parker","Robert B Parker","Putnam"
"2312","DEEP SHADOW","Murderers want Doc Ford to help them dive for the remains of a wrecked plane supposedly laden with Cuban gold.","by Randy Wayne White","Randy Wayne White","Putnam"
"2313","BIG GIRL","A young woman with a weight problem worries about her sister’s engagement to a man very much like their narcissistic father.","by Danielle Steel","Danielle Steel","Delacorte"
"2314","HER MOTHER'S HOPE","The first of a two-book narrative that explores the complicated relationships between mothers and daughters over several generations.","by Francine Rivers","Francine Rivers","Tyndale House"
"2315","THE GIRL WHO CHASED THE MOON","Mysteries and magic in a quirky North Carolina town.","by Sarah Addison Allen","Sarah Addison Allen","Bantam"
"2316","HELL GATE","Alexandra Cooper, a Manhattan assistant district attorney, discovers a link between the wreck of a ship carrying human cargo and a sex scandal involving a promising New York congressman.","by Linda Fairstein","Linda Fairstein","Dutton"
"2317","THE SPELLMANS STRIKE AGAIN","
More comic mayhem at a family-run firm of investigators; the  fourth book in a series.","by Lisa Lutz","Lisa Lutz","Simon & Schuster"
"2318","FANTASY IN DEATH","Lt. Eve Dallas investigates the murder of a fantasy-game entrepreneur; by Nora Roberts, writing pseudonymously.","by J. D. Robb","J D Robb","Putnam"
"2319","THE GIRL WHO PLAYED WITH FIRE","In the second volume of the Millennium trilogy, the Swedish hacker Lisbeth Salander becomes a murder suspect.","by Stieg Larsson","Stieg Larsson","Knopf"
"2320","BLACK MAGIC SANCTION","A witch who is also a bounty hunter is shunned by her kind; the eighth Rachel Morgan book.","by Kim Harrison","Kim Harrison","Eos/HarperCollins"
"2321","WINTER GARDEN","After their father’s death, two sisters must cooperate to run his apple orchard and care for their difficult mother.","by Kristin Hannah","Kristin Hannah","St. Martin’s"
"2322","THE SURRENDERED","","by Chang-Rae Lee","Chang-Rae Lee","Riverhead"
"2323","THE MAN FROM BEIJING","A massacre in a tiny Swedish village has roots in the past and on other continents.","by Henning Mankell","Henning Mankell","Knopf"
"2324","POOR LITTLE BITCH GIRL","Hollywood murder, three beautiful 20-something high school friends, a hot New York club owner.","by Jackie Collins","Jackie Collins","St. Martin’s"
"2325","SHALADOR’S LADY","The eighth Black Jewels epic fantasy.","by Anne Bishop","Anne Bishop","Roc"
"2326","FLIRT","Anita Blake, vampire hunter, and the males in her life; the 18th book in the series.","by Laurell K. Hamilton","Laurell K Hamilton","Berkley"
"2327","APPLE TURNOVER MURDER","Hannah Swensen searches for the killer of an amorous professor; recipes included.","by Joanne Fluke","Joanne Fluke","Kensington"
"2328","BRAVA, VALENTINE","An Italian-American shoemaker faces challenges at work, in her family and in love; the second book in a trilogy.","by Adriana Trigiani","Adriana Trigiani","Harper/HarperCollins"
"2329","HORNS","
After the rape and murder of his girlfriend, a distraught young man discovers that he has grown horns.","by Joe Hill","Joe Hill","Morrow/HarperCollins"
"2330","KISSER","Stone Barrington, the New York cop turned lawyer, pursues a case of financial fraud on the Upper East Side.","by Stuart Woods","Stuart Woods","Putnam"
"2331","THE MIDNIGHT HOUSE","Who is killing members of a secret unit that interrogated terrorists out of a secret base in Poland called the Midnight House? The C.I.A. agent John Wells is on the case.","by Alex Berenson","Alex Berenson","Putnam"
"2332","THE LAST SURGEON","A surgeon and a nurse track a killer whose specialty is murders that don’t look like murder.","by Michael Palmer","Michael Palmer","St. Martin’s"
"2333","THE SWAN THIEVES","A psychiatrist who treats a man who slashed a canvas in the National Gallery is drawn into the world of French Impressionism; from the author of “The Historian.”","by Elizabeth Kostova","Elizabeth Kostova","Little, Brown"
"2334","SECRETS OF EDEN","Murder, domestic abuse, spirituality and secrets in a small Vermont town.","by Chris Bohjalian","Chris Bohjalian","Shaye Areheart"
"2335","THE LAST SONG","A 17-year-old girl spends the summer with her divorced father in North Carolina and finds many kinds of love.","by Nicholas Sparks","Nicholas Sparks","Grand Central"
"2336","ROSES","Three generations in a small East Texas town.","by Leila Meacham","Leila Meacham","Grand Central"
"2337","DEAD AND GONE","Sookie Stackhouse searches for the killer of a werepanther.","by Charlaine Harris","Charlaine Harris","Ace"
"2338","THE WOLF AT THE DOOR","Someone is targeting the members of an elite British intelligence team, and Sean Dillon investigates.","by Jack Higgins","Jack Higgins","Putnam"
"2339","A DARK MATTER","A writer investigates what happened to his wife and others who fell under the spell of a charismatic campus guru in the 1960s.","by Peter Straub","Peter Straub","Doubleday"
"2340","THE FIRST RULE","

Elvis Cole and his partner, Joe Pike, set out to clear the reputation of a former military contractor who has been murdered.","by Robert Crais","Robert Crais","Putnam"
"2341","UNDER THE DOME, PART 1","The town of Chester's Mill, Me., is suddenly and inexplicably trapped by an invisible force field. Sealed off from the rest of the world, the townspeople fall prey to a devious politician.","by Stephen King","Stephen King","Scribner"
"2342","I, SNIPER","

Bob Lee Swagger discovers that the murder of four ’60s radicals is more complicated than it seems.","by Stephen Hunter","Stephen Hunter","Simon & Schuster"
"2343","IMPACT","Scientists race to defuse a doomsday weapon pointed at Earth from one of the moons of Mars.","by Douglas Preston","Douglas Preston","Forge"
"2344","THE BURNING LAND","The ninth-century Saxon warrior Uhtred breaks with King Alfred but returns to fight the Danes.","by Bernard Cornwell","Bernard Cornwell","Harper/HarperCollins"
"2345","BLOOD TIES","The F.B.I. agent Noah Bishop and his special crimes unit  pursue a brutal enemy.","by Kay Hooper","Kay Hooper","Bantam"
"2346","NOAH’S COMPASS","A retired teacher with a head injury struggles to regain his memory and his engagement in life.","by Anne Tyler","Anne Tyler","Knopf"
"2347","GATOR A-GO-GO","Serge A. Storms, the vigilante serial killer, and his stoned sidekick do spring break in Florida.","by Tim Dorsey","Tim Dorsey","Morrow/HarperCollins"
"2348","DEEPER THAN THE DEAD","An F.B.I. investigator and a teacher track a series of murders in California in 1985.","by Tami Hoag","Tami Hoag","Dutton"
"2349","HALF BROKE HORSES","A re-creation of the life of the author’s grandmother — a mustang breaker, schoolteacher, ranch wife and mother of two — in the Southwest.","by Jeannette Walls","Jeannette Walls","Scribner"
"2350","THE HONOR OF SPIES","An O.S.S. agent seeks information from a German prisoner of war.","by W. E. B. Griffin and William E. Butterworth IV","W E B Griffin and William E Butterworth IV","Putnam"
"2351","SIZZLE","A Los Angeles film student who unwittingly captures a shocking crime on camera is aided by a handsome F.B.I. agent.","by Julie Garwood","Julie Garwood","Ballantine"
"2352","PIRATE LATITUDES","In the 17th-century Caribbean, a British pirate attacks a Spanish galleon; this manuscript was found in Crichton’s files after his death in 2008.","by Michael Crichton","Michael Crichton","Harper/HarperCollins"
"2353","TREASURE HUNT","A young San Francisco private investigator discovers some unpleasant facts when a well-known fund-raiser is murdered.","by John Lescroart","John Lescroart","Dutton"
"2354","U IS FOR UNDERTOW","Kinsey Millhone investigates the case of a 4-year-old girl who disappeared 21 years earlier.","by Sue Grafton","Sue Grafton","Putnam"
"2355","NOT MY DAUGHTER","A pregnancy pact among three teenage girls.","by Barbara Delinsky","Barbara Delinsky","Doubleday"
"2356","ALTAR OF EDEN","A Louisiana veterinarian discovers a wrecked fishing trawler filled with genetically altered animals.","by James Rollins","James Rollins","Morrow/HarperCollins"
"2357","FORD COUNTY","Stories set in rural Mississippi.","by John Grisham","John Grisham","Doubleday"
"2358","WOLF HALL","Thomas More and Thomas Cromwell clash in the court of Henry VIII; winner of the 2009 Man Booker Prize.","by Hilary Mantel","Hilary Mantel","Holt"
"2359","FIRED UP","A venture capitalist who believes he has inherited an ancestor’s psychic powers searches for an elusive artifact.","by Jayne Ann Krentz","Jayne Ann Krentz","Putnam"
"2360","DAYS OF GOLD","In the 18th century, Edilean and a Scottish laird travel to America in search of gold her father left her; part of the Edilean series.","by Jude Deveraux","Jude Deveraux","Atria"
"2361","THE SCARPETTA FACTOR","Apparent threats on Kay Scarpetta’s life make her hesitate when a TV producer wants her to star in a show.","by Patricia Cornwell","Patricia Cornwell","Putnam"
"2362","THE GATHERING STORM","Book 12 of the Wheel of Time fantasy series.","by Robert Jordan and Brandon Sanderson","Robert Jordan and Brandon Sanderson","Tor/Tom Doherty"
"2363","DIVINE MISDEMEANORS","In the eighth Meredith Gentry paranormal romance, Meredith, who has left the faerie court, is asked by the L.A.P.D. for assistance in solving a series of crimes.","by Laurell K. Hamilton","Laurell K Hamilton","Ballantine"
"2364","HER FEARFUL SYMMETRY","A woman haunts the flat she’s left to her twin nieces near Highgate Cemetery in London.","by Audrey Niffenegger","Audrey Niffenegger","Scribner"
"2365","THE CHRISTMAS SWEATER","A boy learns from his disappointment with his mother’s gift.","by Glenn Beck with Kevin Balfe and Jason Wright.","Glenn Beck with Kevin Balfe and Jason Wright","Threshold Editions"
"2366","BREATHLESS","Mysterious animals in the Colorado Rockies set off intrigue and suspense.","by Dean Koontz","Dean Koontz","Bantam"
"2367","THE LACUNA","A young American growing up in Mexico becomes friends with artists and radicals; later, in the United States, he is menaced by ­McCarthyism.","by Barbara Kingsolver","Barbara Kingsolver","Harper/HarperCollins"
"2368","TRUE BLUE","An ex-cop in Washington struggles to clear her name.","by David Baldacci","David Baldacci","Grand Central"
"2369","PURSUIT OF HONOR","The counterterrorism operative Mitch Rapp must teach politicians about national security following a new Qaeda attack.","by Vince Flynn","Vince Flynn","Atria"
"2370","THE WRECKER","In 1907, a detective tracks a mysterious saboteur all over the West.","by Clive Cussler and Justin Scott","Clive Cussler and Justin Scott","Putnam"
"2371","SOUTH OF BROAD","An unlikely group’s friendship from the ’60s to the ’80s, by the author of ""The Prince of Tides.""","by Pat Conroy","Pat Conroy","Nan A. Talese/Doubleday"
"2372","HEAT WAVE","A journalist tags along with Detective Nikki Heat as she investigates the death of a New York real estate tycoon.","by Richard Castle","Richard Castle","Hyperion"
"2373","DARTH BANE","","by Drew Karpyshyn","Drew Karpyshyn","LucasBooks"
"2374","THE PARIS VENDETTA","The former Justice Department operative Cotton Malone searches for Napoleon’s lost treasure as he battles a cabal of multimillionaires manipulating the global economy.","by Steve Berry","Steve Berry","Ballantine"
"2375","FIRST LORD’S FURY","With their survival at stake, Alerans prepare for a final battle in the sixth book of the Alera fantasy cycle.","by Jim Butcher","Jim Butcher","Ace"
"2376","LAST NIGHT IN TWISTED RIVER","

A loggers’ cook and his son are on the run from the law, for decades.","by John Irving","John Irving","Random House"
"2377","KINDRED IN DEATH","Lt. Eve Dallas investigates the brutal murder of a colleague’s daughter; by Nora Roberts, writing pseudonymously.","by J. D. Robb","J D Robb","Putnam"
"2378","NINE DRAGONS","The Los Angeles detective Harry Bosch fights crime at home and in Hong Kong.","by Michael Connelly","Michael Connelly","Little, Brown"
"2379","ICE","A brutal ice storm traps a young soldier on leave who has just rescued a woman.","by Linda Howard","Linda Howard","Ballantine"
"2380","NEW YORK","Characters real and imaginary in the Big Apple, from Dutch colonial days to 2001.","by Edward Rutherfurd","Edward Rutherfurd","Doubleday"
"2381","NO LESS THAN VICTORY","The final volume of a trilogy of novels about World War II focuses on the final years of the war, including the Battle of the Bulge and the American sweep through Germany.","by Jeff Shaara","Jeff Shaara","Ballantine"
"2382","WISHIN' AND HOPIN'","A fifth-grader in 1964 gets ready for Christmas.","by Wally Lamb","Wally Lamb","Harper/HarperCollins"
"2383","RAINWATER","A woman runs a Depression-era Texas boarding house while caring for her misunderstood 10-year-old son.","by Sandra Brown","Sandra Brown","Simon & Schuster"
"2384","SOUTHERN LIGHTS","When a New York prosecutor’s daughter is threatened, she sends her back to the Charleston world she herself fled.","by Danielle Steel","Danielle Steel","Delacorte"
"2385","A TOUCH OF DEAD","The complete Sookie Stackhouse stories.","by Charlaine Harris","Charlaine Harris","Ace"
"2386","KNIT THE SEASON","The members of the Friday Night Knitting Club prepare for the holidays and a New Year’s Day wedding.","by Kate Jacobs","Kate Jacobs","Putnam"
"2387","GRAVE SECRET","
Harper Connelly and her stepbrother Tolliver head for Texas and into family trouble.","by Charlaine Harris","Charlaine Harris","Berkeley Prime Crime"
"2388","ANGEL TIME","
A contract killer goes back to 13th-century England in search of redemption.","by Anne Rice","Anne Rice","Knopf"
"2389","TO TRY MEN'S SOULS","The darkest days of the American Revolution.","by Newt Gingrich, William R. Forstchen and Albert S. Hanser","Newt Gingrich, William R Forstchen and Albert S Hanser","Thomas Dunne/St. Martin’s"
"2390","AN ECHO IN THE BONE","Jamie Fraser and his time-traveling wife, Claire, encounter pirates on the high seas; the seventh Outlander novel.","by Diana Gabaldon","Diana Gabaldon","Delacorte"
"2391","BLOOD GAME","The forensic sculptor Eve Duncan struggles against a serial killer.","by Iris Johansen","Iris Johansen","St. Martin’s"
"2392","THE PROFESSIONAL","Rich women are turning up dead, and the Boston P.I. Spenser investigates.","by Robert B. Parker","Robert B Parker","Putnam"
"2393","ROUGH COUNTRY","Virgil Flowers investigates a string of murders at a Minnesota resort for women.","by John Sandford","John Sandford","Putnam"
"2394","EVIDENCE","The Los Angeles psychologist-detective Alex Delaware helps solve the grisly murder of an architect and his companion.","by Jonathan Kellerman","Jonathan Kellerman","Ballantine"
"2395","THE GHOST KING","In the final book of the Transitions fantasy series, Drizzt faces a powerful foe, a demonic crystal shard.","by R. A. Salvatore","R A Salvatore","Wizards of the Coast"
"2396","DEATH TROOPERS","Survivors of an Imperial prison barge must contend with a plague and the undead aboard a Star Destroyer; a “Star Wars” book.","by Joe Schreiber","Joe Schreiber","Del Rey/Ballantine"
"2397","DEEP KISS OF WINTER","","by Kresley Cole and Gena Showalter","Kresley Cole and Gena Showalter","Pocket"
"2398","AND ANOTHER THING...","","by Eoin Colfer","Eoin Colfer","Hyperion"
"2399","THE CHRISTMAS LIST","A man changes his life after he reads his own obituary and learns what others think of him.","by Richard Paul Evans","Richard Paul Evans","Simon & Schuster"
"2400","THE UNSEEN ACADEMICALS","In this Discworld fantasy, the benevolent tyrant of Ankh-Morpork suggests that Unseen University put together a football team.","by Terry Pratchett","Terry Pratchett","Harper/HarperCollins"
"2401","ALEX CROSS’S ‘TRIAL’","The detective Alex Cross writes a novel about his great-uncle, who fought the Klan.","by James Patterson and Richard DiLallo","James Patterson and Richard DiLallo","Little, Brown"
"2402","THE PERFECT CHRISTMAS","A matchmaker assigns Cassie Beaumont three tasks before revealing her perfect mate; includes the 1998 story ""Can This Be Christmas?""","by Debbie Macomber","Debbie Macomber","Mira"
"2403","HOTHOUSE ORCHID","A C.I.A. special agent finds that much has changed, and not for the better, when she returns to her Florida hometown.","by Stuart Woods","Stuart Woods","Putnam"
"2404","JULIET, NAKED","A woman looking for a change begins a relationship with a reclusive singer-­songwriter about to release a new album.","by Nick Hornby","Nick Horn","Riverhead"
"2405","FROSTBITTEN","The world’s only female werewolf and her mate track a rogue who’s hunting humans in the Alaskan forest.","by Kelley Armstrong","Kelley Armstrong","Bantam"
"2406","SPARTAN GOLD","Husband-and-wife treasure hunters search for bottles of wine from Napoleon’s “lost cellar.”","by Clive Cussler with Grant Blackwood","Clive Cussler with Grant Blackwood","Putnam"
"2407","THE YEAR OF THE FLOOD","In a violent future society, survivors of a catastrophic pandemic make their way.","by Margaret Atwood","Margaret Atwood","Nan A. Talese/Doubleday"
"2408","A CHANGE IN ALTITUDE","A young woman’s life is transformed by a mountain-climbing accident in Kenya.","by Anita Shreve","Anita Shreve","Little, Brown"
"2409","LAKESHORE CHRISTMAS","","by Susan Wiggs","Susan Wiggs","Mira"
"2410","PLUM PUDDING MURDER","","by Joanne Fluke","Joanne Fluke","Kensington"
"2411","THE WHITE QUEEN","Palace intrigue during the War of the Roses, by the author of ""The Other Boleyn Girl.""","by Philippa Gregory","Philippa Gregory","Touchstone/Simon & Schuster"
"2412","HARDBALL","Searching for an old woman’s missing son, V. I. Warshawski, the Chicago private investigator, is plunged into the politics of the 1960s.","by Sara Paretsky","Sara Paretsky","Putnam"
"2413","THE LOST ART OF GRATITUDE","Edinburgh’s Isabel Dalhousie in the sixth Sunday Philosophy Club novel.","by Alexander McCall Smith","Alexander McCall Smith","Pantheon"
"2414","MAMA DEAREST","A woman tries to derail her daughter’s entertainment career.","by E. Lynn Harris","E Lynn Harris","Pocket Books/Karen Hunter"
"2415","BLOOD'S A ROVER","The violent final volume of the Underworld U.S.A. trilogy.","by James Ellroy","James Ellroy","Knopf"
"2416","HOMER & LANGLEY","The lives of the reclusive Collyer brothers, by the author of “Ragtime.”","by E. L. Doctorow","E L Doctorow","Random House"
"2417","THE BRUTAL TELLING","","by Louise Penny","Louise Penny","Minotaur"
"2418","A GATE AT THE STAIRS","A Midwestern college student takes a job as a nanny with a couple on the eve of adoption, from the author of ""Birds of America.""","by Lorrie Moore","Lorrie Moore","Knopf"
"2419","DARK SLAYER","A slayer who travels with a wolf pack frees a Dragon­seeker from prison and falls in love with him; a Carpathian novel.","by Christine Feehan","Christine Feehan","Berkley"
"2420","206 BONES","Temperance Brennan is accused of mishandling an autopsy.","by Kathy Reichs","Kathy Reichs","Scribner"
"2421","THE ELEVENTH VICTIM","A prosecutor turned therapist is drawn back to crime-fighting when her clients start getting murdered one by one.","by Nancy Grace","Nancy Grace","Hyperion"
"2422","THAT OLD CAPE MAGIC","A long-married couple wrestle with dissatisfactions during a Cape Cod weekend, by the author of “Empire Falls.”","by Richard Russo","Richard Russo","Knopf"
"2423","DEXTER BY DESIGN","A serial killer who arranges victims in artful poses challenges the Miami Police Department and its blood splatter analyst, Dexter.","by Jeff Lindsay","Jeff Lindsay","Doubleday"
"2424","THE HOST","In this first adult novel by the author of the Twilight series for teenagers, aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender; originally published in 2008.","by Stephenie Meyer","Stephenie Meyer","Little, Brown"
"2425","DAY AFTER NIGHT","","by Anita Diamant","Anita Diamant","Scribner"
"2426","THE WAR AFTER ARMAGEDDON","","by Ralph Peters","Ralph Peters","Forge"
"2427","THE SPIRE","A new college president opens an inquiry into a  murder that occurred when he was a student.","by Richard North Patterson","Richard North Patterson","Holt"
"2428","THE GOLDEN CITY","","by John Twelve Hawks","John Twelve Hawks","Doubleday"
"2429","EVEN MONEY","A bookmaker learns that his father, whom he had believed was long dead, was the chief suspect in the murder of his mother.","by Dick Francis and Felix Francis","Dick Francis and Felix Francis","Putnam"
"2430","SMASH CUT","A publicity-seeking lawyer tries to get to the bottom of who murdered a wealthy executive.","by Sandra Brown","Sandra Brown","Simon & Schuster"
"2431","EVIL AT HEART","Gretchen Lowell, serial killer, and Archie Sheridan, the Portland detective who pursues her, have come to an agreement, but then another body turns up.","by Chelsea Cain","Chelsea Cain","Minotaur"
"2432","DREAMFEVER","MacKlaya finds herself under the erotic spell of a Fae master.","by Karen Marie Moning","Karen Marie Moning","Delacorte"
"2433","GREEN","","by Ted Dekker","Ted Dekker","Thomas Nelson"
"2434","THE SWORD OF THE LADY","Adventures in a postapocalypse America.","by S. M. Stirling","S M Stirling","Roc"
"2435","ABYSS","In a ""Star Wars"" book, Luke Skywalker goes to the Mind Walker’s The detective Alex Cross writes a novel about his great-uncle, who fought the Klan.world to try to redeem the Jedi.","by Troy Denning","Troy Denning","Del Rey/Ballantine/Lucas"
"2436","BEST FRIENDS FOREVER","Childhood friends, estranged in high school, reunite years later when the popular one needs the mousy one’s help.","by Jennifer Weiner","Jennifer Weiner","Atria"
"2437","RESURRECTING MIDNIGHT","Gideon, an international assassin, travels to Argentina in pursuit of a dangerous assignment.","by Eric Jerome Dickey","Eric Jerome Dickey","Dutton"
"2438","INHERENT VICE","A pothead private eye in Los Angeles, circa 1970.","by Thomas Pynchon","Thomas Pynchon","Penguin Press"
"2439","SWIMSUIT","The former cop Ben Hawkins, now a reporter, investigates the disappearance of a supermodel.","by James Patterson and Maxine Paetro","James Patterson and Maxine Paetro","Little, Brown"
"2440","VANISHED","An investigator sets out to find his brother, who works for a huge defense contractor and has disappeared.","by Joseph Finder","Joseph Finder","St. Martin’s"
"2441","THE LAW OF NINES","A struggling artist saves a woman''s life, inherits land and becomes a target.","by Terry Goodkind","Terry Goodkind","Putnam"
"2442","A PRINCESS OF LANDOVER","The king of Landover wants his princesss daughter to learn responsibility, but she runs away to learn sorcery.","by Terry Brooks","Terry Brooks","Ballantine"
"2443","THE MAGICIANS","After sorcery college, a young man lives the hedonist’s life in Manhattan, dealing with crises existential and otherwise.","by Lev Grossman","Lev Grossman","Viking"
"2444","THE DEFECTOR","When a Russian defector who once saved his life disappears, Gabriel Allon, an art restorer and occasional spy for the Israeli secret service, attempts to rescue him.","by Daniel Silva","Daniel Silva","Putnam"
"2445","BAD MOON RISING","Book 18 of the Dark-Hunter paranormal series.","by Sherrilyn Kenyon","Sherrilyn Kenyon","St. Martin’s"
"2446","BLINDMAN'S BLUFF","Decker and Lazarus become embroiled in the case of a murdered shopping-mall magnate.","by Faye Kellerman","Faye Kellerman","Morrow/HarperCollins"
"2447","INTERVENTION","A potentially explosive archaeological discovery reconnects a medical seeker, a biblical scholar and a New York bishop, long-ago college classmates.","by Robin Cook","Robin Cook","Putnam"
"2448","RULES OF VENGEANCE","A doctor is drawn into a world of international espionage; a sequel to “Rules of Deception.”","by Christopher Reich","Christopher Reich","Doubleday"
"2449","THE TRAFFICKERS","A Philadelphia cop joins forces with a Texas Ranger to track a gang connected to the Mexican drug cartel; part of the Badge of Honor series.","by W.E.B. Griffin and William E. Butterworth IV","W E B Griffin and William E Butterworth IV","Putnam"
"2450","TWENTIES GIRL","A young woman is haunted by the spirit of her great-aunt, who wants her to find a missing necklace.","by Sophie Kinsella","Sophie Kinsella","Dial"
"2451","FINGER LICKIN’ FIFTEEN","The bounty hunter Stephanie Plum tracks a celebrity chef’s killer.","by Janet Evanovich","Janet Evanovich","St. Martin’s"
"2452","BLACK HILLS","A South Dakota wildlife biologist and an ex-cop, childhood sweethearts, reunite to pursue a serial killer.","by Nora Roberts","Nora Roberts","Putnam"
"2453","THE WINDS OF DUNE","Frank Herbert’s son and his collaborator, drawing on Herbert’s notes on the “Dune” series, pick up the story after the events of “Dune Messiah,” following Jessica, the mother of the emperor Paul Atreides.","by Brian Herbert and Kevin J. Anderson","Brian Herbert and Kevin J Anderson","Tor/ Tom Doherty"
"2454","SHANGHAI GIRLS","Two Chinese sisters in the 1930s are sold as wives to men from California.","by Lisa See","Lisa See","Random House"
"2455","FIRE AND ICE","The Seattle investigator J.  P. Beaumont finds that his pursuit of a murderer leads him into the territory of Joanna Brady, an Arizona sheriff.","by J. A. Jance","J A Jance","Morrow/HarperCollins"
"2456","DRAGONS OF THE HOURGLASS MAGE","","by Margaret Weis and Tracy Hickman","Margaret Weis and Tracy Hickman","Wizards of the Coast"
"2457","THE DEVIL’S PUNCHBOWL","The mayor of Natchez, Miss., pursues a killer who opposes his attempt to clean up riverboat gambling.","by Greg Iles","Greg Iles","Scribner"
"2458","RAIN GODS","A Texas sheriff investigates a mass murder of illegal aliens and tries to find the young Iraq war veteran who may have been involved — before the F.B.I. can.","by James Lee Burke","James Lee Burke","Simon & Schuster"
"2459","THE APOSTLE","Scot Harvath, a Homeland Security superagent, is asked to free an Al Qaeda mastermind from a Pakistani prison as part of a ransom deal.","by Brad Thor","Brad Thor","Atria"
"2460","THE DOOMSDAY KEY","Sigma Force operatives attempt to solve an ancient mystery that has deadly consequences.","by James Rollins","James Rollins","Morrow/HarperCollins"
"2461","THE ANGEL'S GAME","A Barcelona writer accepts a sinister commission.","by Carlos Ruiz Zafón","Carlos Ruiz Zafón","Doubleday"
"2462","RETURN TO SULLIVANS ISLAND","A young woman returns to her family’s South Carolina island home.","by Dorothea Benton Frank","Dorothea Benton Frank","Morrow/HarperCollins"
"2463","GUARDIAN OF LIES","The lawyer Paul Madriani unravels a mystery involving gold coins, the C.I.A., and a weapon forgotten since the Cuban missile crisis.","by Steve Martini","Steve Martini","Morrow/HarperCollins"
"2464","STORM CYCLE","","by Iris Johansen and Roy Johansen","Iris Johansen and Roy Johansen","St. Martin’s"
"2465","THE CASTAWAYS","A Nantucket couple drowns, raising questions and precipitating conflicts among their group of friends.","by Elin Hilderbrand","Elin Hilderbrand","Little, Brown"
"2466","THE PHYSICK BOOK OF DELIVERANCE DANE","A graduate student is caught up in her research on a healer accused of witchcraft in Salem.","by Katherine Howe","Katherine Howe","Voice"
"2467","UNDONE","Dr. Sara Linton works with agents of the Georgia Bureau of Investigation to stop a killer who tortures his victims.","by Karin Slaughter","Karin Slaughter","Delacorte"
"2468","THE BOURNE DECEPTION","Robert Ludlum’s character Jason Bourne helps to avert a possible world war.","by Eric Van Lustbader","Eric Van Lustbader","Grand Central"
